Date;Ticker;Base_Ticker;Gamma;Max_1D;Max_1D_event;Max_1D_extreme;Min_1D;Min_1D_event;Min_1D_extreme;Control_Acheteurs;Control_Vendeurs;Put_Sup_Main;Put_Sup_All;Call_Res_Main;Call_Res_All
30/04/2025;ESm25;ES;negatif;5606;5618;5630;5508;5496;5483;5570;5543;5600;5600, 5500, 5500, 5450, 5400, 5350, 5150, 5100, 5000, 5500, 5450, 5400, 5350, 5150, 5100, 5000, 5500, 5450, 5400, 5350, 5150, 5100, 5000;5550;5550, 5625, 5660, 5675, 5700, 5710, 5625, 5660, 5675, 5700, 5710
30/04/2025;NQm25;NQ;positif;19709;19754;19799;19346;19303;19255;19549;19446;19100;19100, 18800, 18700, 18600, 18000, 17650, 18000, 17650;19250;19250, 19400, 19450, 19500, 19650, 19700, 19800, 19900, 20000, 19450, 19500, 19650, 19700, 19800, 19900, 20000, 19450, 19500, 19650, 19700, 19800, 19900, 20000
30/04/2025;RTY m25;RTY;positif;2002;2008;;1952;1946;;1984;1970;1925;1925, 1900, 1850, 1830, 1825, 1820, 1775, 1750, 1830, 1825, 1820, 1775, 1750;1950;1950, 1975, 2000
30/04/2025;YMm25;YM;positif;40974;41075;;40169;40070;;40733;40512;40000;40000, 39800, 39500, 39400, 38900, 39500, 39400, 38900, 39500, 39400, 38900;40800;40800, 41600, 41600
30/04/2025;CLm25;CL;negatif;63.74;64.29;;59.33;58.77;;62.22;60.99;61.00;61.00, 60.50, 60.00, 59.50, 58.50, 69.50, 69.00, 68.00, Hedgies: 69.50, 69.00, 68.00;62.50;62.50, 63.00, 63.50, 64.00, 64.50, 65.00, 65.50
30/04/2025;6e;6e;non_specifie;1.1446;1.150323;;1.1361;1.13042;;1.1408;1.1383;1.1150;1.1150, 1.11, 1.1050, 1.0950, 1.1000, 1.1050, 1.1100, 1.12, 1.1250;1.1450;1.1450, 1.1500, 1.1550, 1.16, 1.1625, 1.1650, 1.17, 1.1750
30/04/2025;6j;6j;non_specifie;0.007082;0.007090;;0.007024;0.007017;;0.007065;0.007049;0.007125;0.007125, 0.007075, 0.007050, 0.006900;0.007175;0.007175, 0.007200, 0.007250, 0.007300
30/04/2025;6N;6N;non_specifie;0.5988;0.601794;;0.5896;0.586652;;0.5954;0.5928;0.6000;0.6000, 0.5950, 0.5900;0.6075;0.6075, 0.6100
30/04/2025;6S;6S;non_specifie;1.2248;1.230924;;1.2161;1.21002;;1.2208;1.2183;1.2200;1.2200, 1.2100, 1.1900;1.2300;1.2300, 1.2400, 1.2500
30/04/2025;6a;6a;non_specifie;0.6469;0.650134;;0.6365;0.633317;;0.6412;0.6383;0.6425;0.6425, 0.6400, 0.6375, 0.6350, 0.6300, 0.6250;0.64;0.64, 0.6450
30/04/2025;GCm25;GC;positif;3332;3337;;3292;3287;;3323;3312;3300;3300, 3250, 3225, 3200, 3190, 3150, 3125, 3150, 3125;3350;3350, 3400, 3425, 3450, 3500, 3525, 3400, 3425, 3450, 3500, 3525
